Age,Occupation,Investment Goals,Income Level,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Loan Purpose,Employment Status,Loan Term (Months),Interest Rate,Loan Status,Risk Score,Risk Level
39,Doctor,Income Generation,87821.74,67630.0,20647.86,11891.72,15956.57,1028.41,11053.93,50000.0,Auto Purchase,Self-Employed,36,10.12,approved,5,Medium
75,Doctor,Income Generation,35773.87,24691.91,10732.4,6915.67,1700.82,358.71,7710.49,31403.12,Medical Expenses,Employed,36,8.22,approved,2,Low
24,Lawyer,Income Generation,90361.52,100000.0,10880.79,9412.5,24837.22,5241.31,33631.08,9139.05,Medical Expenses,Unemployed,36,9.25,pending,5,Medium
46,Teacher,Wealth Preservation,20434.51,10510.07,1483.6,2621.97,1649.91,260.77,732.98,16619.45,Home Improvement,Retired,60,6.43,approved,2,Low
44,Engineer,Speculation,70512.68,66624.46,14844.35,6323.8,6435.72,1255.67,9276.55,50000.0,Home Improvement,Retired,12,12.45,rejected,5,Medium
57,Lawyer,Speculation,96808.2,82087.11,8709.25,16621.02,6143.46,1459.4,25737.53,50000.0,Debt Consolidation,Employed,60,13.81,pending,5,Medium
56,Artist,Speculation,43065.36,51765.09,10171.92,3873.26,10462.24,1649.06,7114.17,50000.0,Debt Consolidation,Self-Employed,48,13.7,pending,3,Low
18,Engineer,Growth,60261.69,82211.09,13957.36,13283.04,8426.46,1367.34,27072.56,14933.41,Debt Consolidation,Retired,48,7.22,approved,5,Medium
21,Retiree,Speculation,120473.06,100000.0,31446.97,13840.59,16313.05,1365.6,38084.36,50000.0,Debt Consolidation,Unemployed,24,14.44,rejected,8,High
35,Retiree,Speculation,64277.76,69926.31,10677.33,8042.39,13371.81,1104.6,12210.28,9781.66,Medical Expenses,Unemployed,24,6.87,approved,3,Low
53,Lawyer,Wealth Preservation,76368.4,67644.6,11700.34,5511.18,8129.82,432.65,5931.21,50000.0,Medical Expenses,Unemployed,12,11.62,rejected,4,Low
40,Lawyer,Wealth Preservation,52594.19,20865.13,9950.95,5840.73,4779.72,514.64,6110.17,50000.0,Home Improvement,Employed,36,12.55,pending,5,Medium
77,Engineer,Speculation,71595.81,100000.0,28233.37,21030.58,10242.48,2791.49,11140.21,33782.37,Home Improvement,Retired,60,9.25,approved,3,Low
42,Artist,Wealth Preservation,125095.78,100000.0,28596.23,19959.01,15099.15,1060.48,15774.16,46485.35,Auto Purchase,Employed,12,8.82,approved,5,Medium
22,Doctor,Growth,108748.71,100000.0,25407.05,22638.97,12669.9,2699.52,8319.42,50000.0,Home Improvement,Unemployed,60,13.07,pending,7,High
27,Engineer,Income Generation,73779.75,100000.0,36962.73,18056.61,8340.92,1618.05,22631.86,41468.1,Home Improvement,Employed,24,10.31,approved,7,High
46,Artist,Income Generation,90165.5,97999.23,34787.64,5732.5,21554.74,3833.39,10036.55,31541.86,Medical Expenses,Self-Employed,60,8.57,approved,4,Low
30,Student,Wealth Preservation,60185.1,100000.0,47948.68,14547.54,16048.35,732.48,13655.86,50000.0,Home Improvement,Retired,48,13.13,pending,5,Medium
51,Teacher,Growth,115007.65,100000.0,31953.57,21349.55,5507.57,63.68,8820.33,50000.0,Auto Purchase,Self-Employed,48,13.52,rejected,5,Medium
66,Artist,Income Generation,86763.41,64975.68,20428.7,15124.49,9010.54,1264.18,4092.38,50000.0,Debt Consolidation,Self-Employed,60,11.98,rejected,4,Low
34,Teacher,Wealth Preservation,46200.42,45391.38,22107.19,8001.57,6262.97,290.68,12068.64,36169.29,Debt Consolidation,Unemployed,24,10.79,pending,4,Low
34,Teacher,Growth,39853.03,8672.13,2391.48,983.65,469.01,9.42,463.16,46466.06,Auto Purchase,Employed,36,11.11,approved,4,Low
52,Lawyer,Speculation,71208.36,73224.42,17648.52,11776.05,9898.07,2175.31,25664.27,50000.0,Debt Consolidation,Unemployed,60,10.38,approved,5,Medium
53,Lawyer,Wealth Preservation,85754.02,95283.37,10238.43,10998.68,15750.75,1104.95,6456.29,50000.0,Debt Consolidation,Retired,12,10.73,approved,4,Low
81,Engineer,Wealth Preservation,104536.67,100000.0,32628.05,28132.96,6215.15,83.66,13841.18,50000.0,Home Improvement,Retired,12,14.04,pending,5,Medium
75,Doctor,Wealth Preservation,68126.88,51632.41,20815.59,3744.91,9260.96,2450.39,4798.14,50000.0,Auto Purchase,Employed,12,12.15,pending,4,Low
37,Artist,Income Generation,65195.37,59999.37,24803.73,11815.28,6693.71,1992.51,17494.49,23804.75,Debt Consolidation,Self-Employed,12,10.87,pending,5,Medium
32,Lawyer,Growth,96274.65,100000.0,11602.33,7782.7,12770.01,2892.6,7326.52,37752.43,Small Business,Retired,12,12.71,pending,5,Medium
76,Teacher,Wealth Preservation,96378.58,55577.82,25007.73,4906.61,4628.82,640.2,5893.27,50000.0,Small Business,Retired,36,13.61,rejected,4,Low
84,Lawyer,Income Generation,41666.49,82595.26,29282.26,24626.23,7342.58,1221.7,4345.62,41466.81,Medical Expenses,Retired,48,10.16,approved,3,Low
29,Artist,Growth,20057.02,25217.31,8830.49,4206.28,5982.22,689.95,1719.82,9285.93,Home Improvement,Self-Employed,60,8.41,pending,3,Low
39,Student,Wealth Preservation,34712.88,6248.81,2884.14,829.03,422.77,83.05,737.72,50000.0,Medical Expenses,Retired,48,14.04,rejected,4,Low
59,Artist,Growth,4132.71,7715.07,1815.96,2249.99,1793.71,50.08,439.73,5000.0,Home Improvement,Employed,48,7.55,rejected,1,Low
23,Doctor,Wealth Preservation,51852.06,73773.47,25655.19,11064.5,17547.64,49.25,29283.44,48502.52,Debt Consolidation,Employed,36,9.59,approved,6,Medium
49,Doctor,Income Generation,54758.02,55318.59,9706.2,7473.28,10539.05,2055.26,6345.62,50000.0,Home Improvement,Self-Employed,36,11.56,rejected,5,Medium
70,Engineer,Income Generation,108186.37,44835.95,19400.07,9104.76,10885.77,2524.8,7211.77,50000.0,Home Improvement,Employed,24,13.56,rejected,5,Medium
84,Teacher,Income Generation,57239.51,99051.2,17191.96,15631.38,18134.94,5205.13,18459.79,20616.66,Debt Consolidation,Unemployed,48,6.45,approved,3,Low
68,Student,Income Generation,103012.8,47121.84,15394.33,9904.69,9505.4,1154.25,11240.42,50000.0,Medical Expenses,Self-Employed,24,12.9,rejected,5,Medium
38,Student,Growth,71064.72,100000.0,47443.28,21469.0,18203.4,1569.52,5630.24,11424.77,Auto Purchase,Retired,48,5.73,approved,2,Low
37,Doctor,Growth,47443.02,86654.27,21991.77,15578.78,8118.32,24.9,10998.85,20144.62,Medical Expenses,Self-Employed,60,8.26,approved,3,Low
61,Student,Growth,98881.7,100000.0,22369.07,20994.69,18903.75,4845.59,9419.51,21371.96,Debt Consolidation,Retired,12,9.51,rejected,3,Low
24,Retiree,Wealth Preservation,25975.03,7023.25,2509.52,795.34,1674.47,177.51,698.48,16856.42,Home Improvement,Self-Employed,12,6.61,approved,3,Low
35,Student,Growth,46342.08,50714.4,9670.53,6080.84,10886.48,2400.51,5457.84,50000.0,Small Business,Self-Employed,36,11.76,approved,4,Low
82,Doctor,Wealth Preservation,103874.37,100000.0,27064.74,23439.7,19366.25,2821.61,24075.56,50000.0,Small Business,Retired,48,13.47,rejected,6,Medium
24,Student,Speculation,87717.44,100000.0,16985.46,5722.94,13536.57,1814.33,14204.2,24539.21,Auto Purchase,Self-Employed,24,7.74,approved,5,Medium
71,Teacher,Wealth Preservation,56707.97,26607.76,13216.98,2320.58,1822.17,288.83,5488.11,50000.0,Home Improvement,Self-Employed,24,14.49,pending,4,Low
22,Retiree,Wealth Preservation,78837.24,13199.79,5902.56,2891.67,2071.66,303.68,2334.27,50000.0,Medical Expenses,Self-Employed,24,11.27,approved,6,Medium
73,Engineer,Growth,54926.78,18223.15,6819.35,3208.23,4306.42,1034.66,3616.74,50000.0,Medical Expenses,Unemployed,12,13.72,rejected,4,Low
78,Artist,Income Generation,64388.1,8570.04,2951.47,2185.23,1273.98,375.58,445.43,32003.87,Medical Expenses,Self-Employed,48,11.75,rejected,4,Low
68,Student,Income Generation,114821.5,100000.0,13630.71,10709.69,11951.95,2910.48,8870.85,50000.0,Auto Purchase,Employed,36,12.41,rejected,5,Medium
77,Retiree,Income Generation,107814.69,100000.0,43628.42,15172.55,10658.14,2412.12,13845.54,50000.0,Auto Purchase,Unemployed,60,10.04,approved,5,Medium
46,Retiree,Speculation,65976.94,100000.0,14503.83,9558.61,11909.29,1358.13,8480.98,17532.12,Medical Expenses,Employed,60,8.72,rejected,3,Low
35,Artist,Growth,48546.85,11734.97,4292.4,1801.55,918.01,107.48,896.74,50000.0,Auto Purchase,Unemployed,12,12.71,rejected,4,Low
73,Doctor,Wealth Preservation,78026.2,83470.36,29168.0,9729.0,12227.9,929.46,23764.53,50000.0,Medical Expenses,Unemployed,48,12.32,pending,5,Medium
83,Doctor,Wealth Preservation,113664.58,100000.0,29417.08,16156.5,23759.53,635.49,8891.61,50000.0,Debt Consolidation,Employed,24,12.56,rejected,5,Medium
25,Engineer,Growth,78181.14,100000.0,27967.28,16348.21,20632.49,4764.18,38946.1,50000.0,Auto Purchase,Self-Employed,12,13.02,rejected,7,High
78,Lawyer,Speculation,51954.92,53352.73,12412.65,2976.96,6096.54,342.15,5114.95,50000.0,Debt Consolidation,Employed,12,11.68,rejected,4,Low
22,Retiree,Income Generation,93018.48,46937.78,18112.26,8463.7,8172.95,1657.67,6862.7,50000.0,Medical Expenses,Unemployed,12,9.19,approved,5,Medium
40,Engineer,Income Generation,67551.04,79039.92,23608.39,11748.67,6954.83,152.74,8541.67,19401.68,Debt Consolidation,Unemployed,36,7.14,approved,3,Low
35,Doctor,Wealth Preservation,29035.1,3641.5,1019.98,322.96,456.59,131.35,652.98,37498.24,Home Improvement,Unemployed,12,11.67,pending,4,Low
62,Engineer,Income Generation,61798.48,87602.05,33990.58,24908.69,18121.41,1978.39,6596.67,39580.36,Auto Purchase,Self-Employed,60,12.92,rejected,4,Low
23,Retiree,Speculation,35399.35,31872.52,5387.91,7429.15,4916.63,639.74,3987.6,9322.0,Home Improvement,Employed,60,7.31,approved,3,Low
39,Doctor,Income Generation,105120.83,100000.0,48429.12,29550.32,22581.54,4306.23,18018.09,14062.85,Auto Purchase,Unemployed,60,8.63,pending,4,Low
50,Lawyer,Income Generation,53812.81,57985.85,8299.19,8861.88,13423.48,3824.91,12099.5,50000.0,Auto Purchase,Employed,60,12.57,rejected,4,Low
80,Teacher,Growth,108195.93,76796.12,26009.64,14858.71,13413.31,482.23,4286.37,50000.0,Auto Purchase,Retired,48,9.65,approved,4,Low
69,Engineer,Income Generation,54742.36,21652.94,10394.37,2160.16,3307.32,204.38,3407.54,50000.0,Medical Expenses,Unemployed,48,10.8,approved,4,Low
26,Artist,Speculation,66035.7,100000.0,10283.9,24652.28,19489.31,4240.98,23814.48,50000.0,Auto Purchase,Employed,48,10.17,approved,7,High
56,Student,Income Generation,109177.4,100000.0,44997.94,7916.17,11869.86,380.71,16614.05,50000.0,Debt Consolidation,Retired,48,13.75,pending,5,Medium
23,Doctor,Wealth Preservation,41268.85,33554.05,12436.0,8492.37,5944.71,958.76,3238.76,14890.29,Small Business,Unemployed,36,7.29,approved,3,Low
45,Student,Speculation,42100.43,71834.52,13154.11,4426.7,15740.98,3881.82,4860.1,50000.0,Home Improvement,Retired,24,12.8,pending,4,Low
26,Retiree,Speculation,49583.65,6891.86,1952.77,651.12,1612.3,295.82,2517.38,39539.65,Home Improvement,Self-Employed,60,11.2,pending,5,Medium
35,Artist,Wealth Preservation,64997.96,56653.22,23952.76,12796.76,10454.27,1392.73,5565.47,29332.7,Debt Consolidation,Self-Employed,48,9.11,approved,4,Low
68,Student,Growth,131502.77,73685.63,32921.11,20850.62,16694.6,1151.55,11713.96,50000.0,Auto Purchase,Employed,24,10.7,approved,5,Medium
74,Artist,Wealth Preservation,100498.53,73788.91,20753.32,16051.31,11273.21,46.29,5505.61,50000.0,Home Improvement,Unemployed,60,14.06,pending,5,Medium
56,Student,Speculation,91185.04,100000.0,27185.19,10913.59,18304.14,30.81,11590.8,21738.72,Home Improvement,Retired,60,8.51,approved,3,Low
26,Lawyer,Wealth Preservation,82488.94,74458.72,32699.4,14110.83,4741.43,1088.45,5785.79,50000.0,Debt Consolidation,Unemployed,12,11.6,rejected,6,Medium
29,Student,Wealth Preservation,115933.67,82546.67,38451.12,23919.3,19673.66,715.5,12047.67,50000.0,Medical Expenses,Retired,36,9.36,approved,6,Medium
62,Teacher,Income Generation,67892.9,34621.0,5268.22,2482.94,6560.16,509.38,5852.39,27682.52,Auto Purchase,Self-Employed,24,11.3,rejected,4,Low
22,Lawyer,Wealth Preservation,69429.94,66783.58,19484.88,15411.85,5421.54,306.2,9744.07,26763.62,Medical Expenses,Self-Employed,60,9.65,rejected,5,Medium
40,Teacher,Speculation,54102.81,100000.0,13260.51,16145.57,11012.13,469.4,18084.74,50000.0,Auto Purchase,Self-Employed,12,12.4,rejected,5,Medium
23,Student,Income Generation,81554.24,79262.39,33843.88,20769.37,16537.88,3315.49,25506.99,25796.63,Medical Expenses,Retired,12,11.86,pending,7,High
65,Retiree,Growth,128024.67,100000.0,19984.0,26176.67,19306.11,5447.62,17605.61,50000.0,Debt Consolidation,Self-Employed,60,14.19,pending,5,Medium
20,Engineer,Speculation,49206.42,78926.88,32853.8,12131.47,19274.78,599.14,5648.07,45788.97,Small Business,Self-Employed,36,14.02,pending,5,Medium
67,Retiree,Speculation,42089.21,8386.02,3503.1,1450.83,1704.01,483.21,1504.53,42219.41,Small Business,Self-Employed,48,13.45,pending,3,Low
38,Doctor,Growth,87025.9,100000.0,14617.26,23216.34,7006.09,1616.33,7256.67,50000.0,Debt Consolidation,Employed,48,13.55,rejected,5,Medium
78,Student,Wealth Preservation,120555.57,13647.08,3890.23,3542.99,2749.54,428.31,1257.35,19104.08,Debt Consolidation,Retired,48,7.01,approved,3,Low
43,Teacher,Speculation,65063.5,100000.0,45119.12,12719.33,6204.44,975.4,28251.66,50000.0,Home Improvement,Self-Employed,60,9.87,approved,5,Medium
71,Teacher,Growth,15097.08,8929.93,2441.12,2577.14,1013.97,52.44,1416.06,5000.0,Medical Expenses,Self-Employed,36,8.8,pending,1,Low
69,Lawyer,Growth,106937.34,100000.0,44741.32,14687.19,13878.19,3508.91,9785.83,50000.0,Home Improvement,Unemployed,60,10.25,approved,5,Medium
21,Retiree,Wealth Preservation,30588.64,44751.71,5627.59,11192.79,3855.38,149.71,14902.18,38059.03,Home Improvement,Self-Employed,12,10.44,pending,5,Medium
79,Teacher,Income Generation,117489.82,100000.0,15336.17,27892.06,22381.28,457.83,9733.22,50000.0,Home Improvement,Unemployed,24,13.88,rejected,5,Medium
76,Teacher,Speculation,12167.8,4018.71,1486.6,546.09,805.78,118.01,675.74,5000.0,Home Improvement,Unemployed,60,6.28,approved,1,Low
71,Lawyer,Wealth Preservation,118069.36,60076.99,10907.35,15631.83,14279.28,748.35,3355.27,50000.0,Medical Expenses,Unemployed,24,10.13,approved,5,Medium
42,Teacher,Income Generation,42735.51,81792.14,22171.27,20061.52,13786.81,3295.61,9558.4,36383.06,Medical Expenses,Unemployed,24,7.67,approved,3,Low
34,Doctor,Speculation,120541.46,100000.0,14730.0,19778.1,8841.17,1011.7,7206.27,50000.0,Medical Expenses,Self-Employed,36,12.28,rejected,6,Medium
71,Retiree,Speculation,53223.3,50748.63,12646.02,2843.88,7486.94,1715.65,4064.22,50000.0,Auto Purchase,Employed,12,12.69,rejected,4,Low
44,Student,Growth,26467.76,43131.05,17652.84,8865.45,2252.34,424.93,16169.46,14626.7,Medical Expenses,Self-Employed,24,10.41,pending,3,Low
53,Teacher,Speculation,104621.66,100000.0,10894.64,13683.65,21846.5,6463.29,17346.29,35647.62,Auto Purchase,Employed,12,11.77,rejected,5,Medium
53,Student,Income Generation,68860.46,97185.29,12826.61,22839.88,8306.4,96.5,10542.71,50000.0,Small Business,Retired,24,14.96,pending,4,Low
39,Engineer,Speculation,102063.74,24230.15,6873.19,3049.3,1648.15,230.17,4624.76,50000.0,Debt Consolidation,Employed,60,9.0,approved,5,Medium
78,Artist,Wealth Preservation,29939.21,35891.85,6694.5,8925.51,5641.31,164.45,11196.94,11223.0,Home Improvement,Self-Employed,48,7.24,approved,1,Low
35,Artist,Wealth Preservation,81792.42,100000.0,39113.78,21194.64,9484.92,917.16,17927.63,50000.0,Debt Consolidation,Employed,12,12.49,pending,5,Medium
37,Engineer,Income Generation,42108.27,53235.92,21872.05,9815.62,6931.78,817.95,5702.93,50000.0,Auto Purchase,Retired,60,11.1,approved,4,Low
